GEO_NAME,C1_COUNT_TOTAL
"Puslinch, Township (TP)",221400.0
"King, Township (TP)",193000.0
"Oakville, Town (T)",182800.0
"Mulmur, Township (TP)",177800.0
"Mono, Town (T)",173400.0
"East Garafraxa, Township (TP)",164400.0
"Frontenac Islands, Township (TP)",162000.0
"Aurora, Town (T)",161800.0
"The Blue Mountains, Town (T)",157000.0
"Caledon, Town (T)",155400.0
"Springwater, Township (TP)",155000.0
"Vaughan, City (CY)",153000.0
"Halton Hills, Town (T)",150800.0
"Muskoka Lakes, Township (TP)",149800.0
"Erin, Town (T)",149600.0
"Guelph/Eramosa, Township (TP)",149000.0
"Middlesex Centre, Municipality (MU)",148600.0
"North Dumfries, Township (TP)",147600.0
"Whitchurch-Stouffville, Town (T)",147400.0
"Uxbridge, Township (TP)",146800.0
"LaSalle, Town (T)",144600.0
"Milton, Town (T)",142600.0
"Whitby, Town (T)",142400.0
"Pickering, City (CY)",141200.0
"Wellesley, Township (TP)",141000.0
"Shuniah, Municipality (MU)",140800.0
"Burlington, City (CY)",140200.0
"Beckwith, Township (TP)",139600.0
"Oro-Medonte, Township (TP)",139400.0
"East Gwillimbury, Town (T)",139200.0
"Lakeshore, Town (T)",137000.0
"Pelham, Town (T)",136400.0
"Harris, Township (TP)",136000.0
"Adjala-Tosorontio, Township (TP)",135200.0
"Amaranth, Township (TP)",135200.0
"Woolwich, Township (TP)",134600.0
"Ajax, Town (T)",134000.0
"Richmond Hill, Town (T)",134000.0
"Saugeen Shores, Town (T)",133400.0
"Russell, Township (TP)",132200.0
"Wilmot, Township (TP)",131800.0
"Markham, City (CY)",130800.0
"Newmarket, Town (T)",130400.0
"Cavan Monaghan, Township (TP)",130200.0
"Red Lake, Municipality (MU)",129800.0
"Hamilton, Township (TP)",129200.0
"Scugog, Township (TP)",129200.0
"Bradford West Gwillimbury, Town (T)",128800.0
"Clarington, Municipality (MU)",128800.0
"Plympton-Wyoming, Town (T)",128200.0
